Sample_ID,Mouse_Ear_Tag,Mouse_genotype,Sex,Virus_Titer,Time_After_Tumor_Initiation(wks),Total_Lung_Weight(g),Tissue,Lung_sample_weight
LA77_01,JH966,Cas12a,F,1000000,18,0.8192,Lung,0.6831
LA77_02,JH966,Cas12a,F,1000000,18,1.0257,Liver,0.6444
LA77_03,JH972,Cas12a,F,1000000,18,0.6824,Lung,0.6824
LA77_04,JH972,Cas12a,F,1000000,18,0.7645,Liver,0.7645
LA77_05,JH974,Cas12a,F,1000000,18,0.5381,Lung,0.4567
LA77_06,JH974,Cas12a,F,1000000,18,1.255,Liver,0.8387
LA77_07,JH982,Cas12a,F,1000000,18,1.4109,Lung,1.4109
LA77_08,JH982,Cas12a,F,1000000,18,0.811,Liver,0.811
LA77_09,JH980,Cas12a,M,1000000,18,0.6667,Lung,0.4834
LA77_10,JH980,Cas12a,M,1000000,18,1.5584,Liver,1.0597
LA77_11,JH81,Cas12a,M,1000000,18,1.1222,Lung,0.718
LA77_12,JH81,Cas12a,M,1000000,18,1.3654,Liver,0.9572
LA77_13,Cas12a_2.11,TKO,F,200000,18,0.1872,Lung,0.1872
LA77_14,Cas12a_2.12,TKO,F,200000,18,0.1732,Lung,0.1732
LA77_15,Cas12a_2.13,TKO,F,200000,18,0.1726,Lung,0.1726
LA77_01B,JH966,Cas12a,F,1000000,18,0.8192,Lung,0.6831
LA77_05B,JH974,Cas12a,F,1000000,18,0.5381,Lung,0.4567
LA77_11B,JH81,Cas12a,M,1000000,18,1.1222,Lung,0.718
LA77_07B,JH982,Cas12a,F,1000000,18,1.4109,Lung,1.4109
LA77_09B,JH980,Cas12a,M,1000000,18,0.6667,Lung,0.4834
LA77_03B,JH972,Cas12a,F,1000000,18,0.6824,Lung,0.6824
LA77_02B,JH966,Cas12a,F,1000000,18,1.0257,Liver,0.6444